id,batch,reccord_date,tank_id,type_id,ph,nacl_t1,nacl_t2,nacl_t_avr,nacl_p1,nacl_p2,nacl_p_avr,tn_t1,th_t2,tn_t_avr,tn_p1,tn_p2,tn_p_avr,col,alc_t,alc_p,ppm,brix,remask,created_at,updated_at,created_by,updated_by
229,NULL,2023-10-24,7,6,4.75,8.10,8.05,8.08,16.44,16.34,16.39,8.40,8.55,8.48,1.50,1.48,1.49,37,12.35,1.77,0,34,NULL,2023-10-30,NULL,NULL,NULL
230,NULL,2023-04-04,10,7,4.50,7.40,7.40,7.40,15.02,15.02,15.02,5.20,5.35,5.28,1.98,1.96,1.97,23,17.90,0.57,1048,0,NULL,2023-10-30,NULL,NULL,NULL
231,NULL,2023-04-05,6,7,4.81,7.95,7.95,7.95,16.09,16.09,16.09,5.20,5.20,5.20,1.99,1.99,1.99,23,11.30,2.00,832,0,NULL,2023-10-30,NULL,NULL,NULL
232,NULL,2023-04-07,6,7,4.72,7.90,8.00,7.95,15.99,16.19,16.09,4.75,4.90,4.83,2.06,2.03,2.05,23,14.50,1.27,706,0,NULL,2023-10-30,NULL,NULL,NULL
233,NULL,2023-04-29,8,7,4.55,7.80,7.75,7.78,15.79,15.69,15.74,5.00,5.15,5.08,2.01,1.99,2.00,11,14.75,1.19,911,0,NULL,2023-10-30,NULL,NULL,NULL
234,NULL,2023-05-02,8,7,4.59,7.70,7.75,7.73,15.58,15.69,15.64,4.90,4.90,4.90,2.01,2.01,2.01,27,15.25,1.08,759,0,NULL,2023-10-30,NULL,NULL,NULL
235,NULL,2023-06-26,6,7,4.58,7.85,7.85,7.85,15.94,15.94,15.94,5.20,5.05,5.13,1.97,1.99,1.98,23,15.25,1.08,1012,37.6,NULL,2023-10-30,NULL,NULL,NULL
236,NULL,2023-06-27,6,7,4.55,7.70,7.70,7.70,15.63,15.63,15.63,4.50,4.50,4.50,2.06,2.06,2.06,23,15.00,1.14,1089,38.4,NULL,2023-10-30,NULL,NULL,NULL
237,NULL,2023-01-25,10,8,4.48,7.60,7.70,7.65,15.43,15.63,15.53,5.25,5.25,5.25,1.98,1.98,1.98,23,17.65,0.62,1100,0,NULL,2023-10-30,NULL,NULL,NULL
238,NULL,2023-03-03,7,8,5.02,8.45,8.50,8.48,17.10,17.20,17.15,6.30,6.45,6.38,1.83,1.81,1.82,31,13.10,1.58,481,0,NULL,2023-10-30,NULL,NULL,NULL
239,NULL,2023-05-16,7,8,4.61,7.70,7.75,7.73,15.58,15.69,15.64,5.60,5.45,5.53,1.89,1.91,1.90,29,13.75,1.43,438,0,NULL,2023-10-30,NULL,NULL,NULL
240,NULL,2023-07-08,6,8,4.62,6.45,6.45,6.45,13.09,13.09,13.09,5.15,5.15,5.15,1.97,1.97,1.97,27,16.40,0.86,1100,35.4,NULL,2023-10-30,NULL,NULL,NULL
241,NULL,2023-01-14,12,10,4.49,8.20,8.25,8.23,16.65,16.75,16.70,7.15,7.20,7.18,1.71,1.70,1.71,27,15.70,1.06,707,0,NULL,2023-10-30,NULL,NULL,NULL
