id,batch,reccord_date,tank_id,type_id,ph,nacl_t1,nacl_t2,nacl_t_avr,nacl_p1,nacl_p2,nacl_p_avr,tn_t1,th_t2,tn_t_avr,tn_p1,tn_p2,tn_p_avr,col,alc_t,alc_p,ppm,brix,remask,created_at,updated_at,created_by,updated_by
1,NULL,2023-01-03,9,1,4.64,8.3,8.35,8.33,16.85,16.95,16.9,7.4,7.4,7.4,1.66,1.66,1.66,33,16.85,0.73,NULL,NULL,NULL,2023-10-30,NULL,NULL,NULL
2,NULL,2023-01-04,10,1,4.59,8.2,8.2,8.2,16.95,16.95,16.95,7.35,7.35,7.35,1.67,1.67,1.67,33,17.3,0.63,NULL,NULL,NULL,2023-10-30,NULL,NULL,NULL
3,NULL,2023-01-04,7,1,4.59,8.2,8.25,8.23,16.65,16.75,16.7,7.5,7.35,7.43,1.65,1.67,1.66,33,16.65,0.78,NULL,NULL,NULL,2023-10-30,NULL,NULL,NULL
4,NULL,2023-01-05,6,1,4.58,8.45,8.5,8.48,17.15,17.26,17.21,7.4,7.55,7.48,1.66,1.64,1.65,37,16.65,0.78,NULL,NULL,NULL,2023-10-30,NULL,NULL,NULL
5,NULL,2023-01-06,10,1,4.36,8.15,8.15,8.15,16.54,16.54,16.54,9.75,9.85,9.8,1.33,1.31,1.32,33,16.85,0.8,NULL,NULL,NULL,2023-10-30,NULL,NULL,NULL
6,NULL,2023-01-07,7,1,4.56,8.4,8.5,8.45,17.05,17.26,17.16,7.4,7.4,7.4,1.67,1.67,1.67,37,15.45,1.12,NULL,NULL,NULL,2023-10-30,NULL,NULL,NULL
7,NULL,2023-01-09,8,1,4.62,8.35,8.35,8.35,16.95,16.95,16.95,7.2,7.35,7.28,1.68,1.66,1.67,37,15.2,1.17,NULL,NULL,NULL,2023-10-30,NULL,NULL,NULL
8,NULL,2023-01-11,6,1,4.57,8.45,8.5,8.48,17.15,17.26,17.21,7.15,7.2,7.18,1.7,1.68,1.69,37,15.05,1.21,NULL,NULL,NULL,2023-10-30,NULL,NULL,NULL
9,NULL,2023-01-16,8,1,4.57,8.4,8.4,8.4,17.05,17.05,17.05,7.4,7.55,7.48,1.68,1.65,1.67,37,15.5,1.1,1100,NULL,NULL,2023-10-30,NULL,NULL,NULL
10,NULL,2023-01-17,7,1,4.96,8.7,8.7,8.7,17.66,17.66,17.66,7.5,7.35,7.43,1.66,1.68,1.67,37,14.2,1.4,668,NULL,NULL,2023-10-30,NULL,NULL,NULL
11,NULL,2023-01-18,6,1,4.98,8.85,8.85,8.85,17.97,17.97,17.97,7.2,7.35,7.28,1.7,1.68,1.69,37,13.85,1.48,651,NULL,NULL,2023-10-30,NULL,NULL,NULL
12,NULL,2023-01-19,8,1,4.63,8.75,8.75,8.75,17.76,17.76,17.76,7.6,7.7,7.65,1.64,1.62,1.63,37,16.2,0.95,578,NULL,NULL,2023-10-30,NULL,NULL,NULL
13,NULL,2023-01-20,7,1,4.57,8.75,8.7,8.73,17.76,17.86,17.81,7.4,7.55,7.48,1.66,1.64,1.65,39,16.3,0.93,718,NULL,NULL,2023-10-30,NULL,NULL,NULL
14,NULL,2023-01-21,6,1,4.57,8.3,8.25,8.28,16.85,16.75,16.8,6.7,6.65,6.68,1.76,1.77,1.77,37,14.85,1.25,1100,NULL,NULL,2023-10-30,NULL,NULL,NULL
15,NULL,2023-01-26,7,1,4.59,8.3,8.2,8.25,16.85,16.65,16.75,6.5,6.5,6.5,1.79,1.79,1.79,35,14.6,1.31,1100,NULL,NULL,2023-10-30,NULL,NULL,NULL
16,NULL,2023-10-28,6,1,4.89,8.15,8.2,8.18,16.54,16.65,16.6,6.9,6.9,6.9,1.73,1.73,1.73,33,14.2,1.4,780,NULL,NULL,2023-10-30,NULL,NULL,NULL
17,NULL,2023-10-28,8,1,4.9,8.45,8.45,8.45,17.15,17.15,17.15,6.85,6.85,6.85,1.73,1.73,1.73,33,13.75,1.5,667,NULL,NULL,2023-10-30,NULL,NULL,NULL
18,NULL,2023-01-30,8,1,4.95,8.6,8.65,8.63,17.46,17.56,17.51,6.9,6.75,6.83,1.73,1.76,1.75,33,14.05,1.43,663,NULL,NULL,2023-10-30,NULL,NULL,NULL
19,NULL,2023-01-31,7,1,4.87,8.45,8.5,8.48,17.15,17.26,17.21,6.9,6.75,6.83,1.74,1.76,1.75,33,14.45,1.34,856,NULL,NULL,2023-10-30,NULL,NULL,NULL
